%yyyy doy SNR
2007 124 44.34 
2007 125 44.23 
2007 126 44.28 
2007 127 44.19 
2007 128 44.05 
2007 129 44.05 
2007 130 44.03 
2007 131 43.97 
2007 132 44.00 
2007 133 44.08 
2007 134 44.12 
2007 135 43.99 
2007 136 43.99 
2007 137 44.04 
2007 138 43.98 
2007 139 43.97 
2007 140 44.06 
2007 141 43.98 
2007 142 44.00 
2007 143 44.18 
2007 144 44.12 
2007 145 43.95 
2007 146 43.91 
2007 147 43.91 
2007 148 43.90 
2007 149 44.00 
2007 150 43.92 
2007 151 43.91 
2007 152 43.93 
2007 153 43.83 
2007 154 43.82 
2007 155 43.85 
2007 156 43.91 
2007 157 43.85 
2007 158 44.01 
2007 159 43.94 
2007 160 43.82 
2007 161 43.81 
2007 162 43.87 
2007 163 44.01 
2007 164 43.78 
2007 165 43.77 
2007 166 43.76 
2007 167 43.70 
2007 168 43.77 
2007 169 43.67 
2007 170 43.77 
2007 171 43.70 
2007 172 43.72 
2007 173 43.65 
2007 174 43.74 
2007 175 43.67 
2007 176 43.72 
2007 177 43.69 
2007 178 43.67 
2007 179 43.65 
2007 180 43.60 
2007 181 43.59 
2007 182 43.65 
2007 183 43.65 
2007 184 43.60 
2007 185 43.56 
2007 186 43.53 
2007 187 43.71 
2007 188 43.69 
2007 189 43.69 
2007 190 43.64 
2007 191 43.60 
2007 192 43.59 
2007 193 43.70 
2007 194 43.69 
2007 195 43.52 
2007 196 43.49 
2007 197 43.52 
2007 198 43.57 
2007 199 43.66 
2007 200 43.57 
2007 201 43.54 
2007 202 43.55 
2007 203 43.58 
2007 204 43.49 
2007 205 43.47 
2007 206 43.44 
2007 207 43.59 
2007 208 43.43 
2007 209 43.51 
2007 210 43.59 
2007 211 43.39 
2007 212 43.41 
2007 213 43.36 
2007 214 43.41 
2007 215 43.44 
2007 216 43.43 
2007 217 43.56 
2007 218 43.44 
2007 219 43.48 
2007 220 43.52 
2007 221 43.52 
2007 222 43.45 
2007 223 43.48 
2007 224 43.43 
2007 225 43.47 
2007 226 43.42 
2007 227 43.50 
2007 228 43.42 
2007 229 43.35 
2007 230 43.45 
2007 231 43.39 
2007 233 43.42 
