% YYYY MM DD, North, East Vert, sigmas, all in mm
2007 05 04 -3.47  -56.74  4.44  7.98  4.84  30.65
2007 05 05 -6.01  -58.32  4.97  1.46  1.27  5.48
2007 05 06 -7.06  -55.96  4.92  1.26  1.09  4.63
2007 05 07 -5.79  -56.68  3.01  1.41  1.23  5.34
2007 05 08 -5.04  -56.83  4.72  1.52  1.32  5.77
2007 05 09 -4.64  -56.52  3.16  1.5  1.3  5.74
2007 05 10 -5.49  -56.13  0.93  1.55  1.34  5.93
2007 05 11 -5.59  -57.46  4.45  1.61  1.39  6.18
2007 05 12 -4.37  -55.52  8.32  1.6  1.38  6.15
2007 05 13 -5.11  -56.4  3.2  1.57  1.35  6.01
2007 05 14 -3.65  -60.09  8.44  1.7  1.5  6.58
2007 05 15 -3.85  -57.23  2.89  1.58  1.37  6.06
2007 05 16 -4.46  -58.55  3.95  1.62  1.4  6.22
2007 05 17 -5.14  -57.44  3.75  1.57  1.4  6.06
2007 05 18 -6.26  -55.93  5.25  1.53  1.35  5.87
2007 05 19 -5.55  -56.05  4.31  1.54  1.33  5.89
2007 05 20 -4.86  -56.33  4.07  1.47  1.27  5.61
2007 05 21 -4.59  -55.94  7.35  1.52  1.31  5.77
2007 05 22 -7.55  -57.46  2.23  1.41  1.21  5.39
2007 05 23 -4.94  -57.59  4.36  1.43  1.23  5.36
2007 05 24 -5.09  -56.89  -4.96  1.5  1.27  5.66
2007 05 25 -4.85  -57.17  0.97  1.46  1.26  5.54
2007 05 26 -4.97  -56.52  6.34  1.44  1.24  5.43
2007 05 27 -4.85  -56.59  3.74  1.45  1.25  5.46
2007 05 28 -4.38  -58.1  11.17  1.37  1.17  5.06
2007 05 29 -4.76  -57.2  6.69  1.48  1.29  5.61
2007 05 30 -3.61  -55.65  6.02  1.41  1.22  5.26
2007 05 31 -3.96  -55.43  1.88  1.3  1.12  4.84
2007 06 01 -3.21  -55.33  7.21  1.32  1.13  4.89
2007 06 02 -3.75  -54.88  3.54  1.43  1.23  5.41
2007 06 03 -4.19  -55.88  12.75  1.33  1.15  5.02
2007 06 04 -4.91  -56.49  7.02  1.36  1.17  5.1
2007 06 05 -3.9  -54.48  9.31  1.38  1.17  5.16
2007 06 06 -4.41  -55.96  15.76  1.6  1.37  5.94
2007 06 07 -4.13  -56.96  10.87  1.31  1.13  4.89
2007 06 08 -2.78  -55.31  7.53  1.28  1.11  4.8
2007 06 09 -3.74  -57.29  6.95  1.46  1.23  5.34
2007 06 10 -2.92  -55.46  1.76  1.51  1.33  5.61
2007 06 11 -5.81  -54.72  11.46  1.39  1.22  5.31
2007 06 12 -3.75  -56.02  5.64  1.3  1.13  4.9
2007 06 13 -3.18  -54.91  5.19  1.51  1.3  5.75
2007 06 14 -3.45  -54.64  9.79  1.4  1.22  5.22
2007 06 15 -3.58  -56  10.96  1.3  1.13  4.85
2007 06 16 -4.61  -54.55  7.75  1.37  1.19  5.11
2007 06 17 -3.56  -54.52  11.01  1.48  1.28  5.56
2007 06 18 -3.24  -55.44  5.72  1.38  1.2  5.16
2007 06 19 -4.26  -54.18  8.8  1.33  1.15  4.94
2007 06 20 -3.86  -56.11  7.13  1.3  1.13  4.92
2007 06 21 -4.33  -56.13  1.52  1.42  1.23  5.35
2007 06 22 -3.93  -57.31  -2.29  1.57  1.36  5.94
2007 06 23 -4.94  -56.99  11.05  1.38  1.2  5.19
2007 06 24 -3.83  -56.35  6.56  1.39  1.21  5.26
2007 06 25 -4.48  -56.48  10.29  1.23  1.07  4.65
2007 06 26 -3.26  -56.93  9.32  1.32  1.15  4.95
2007 06 27 -2.86  -56.75  8.34  1.41  1.22  5.28
2007 06 28 -3.71  -55.35  6.58  1.4  1.21  5.25
2007 06 29 -3.55  -54.89  5.62  1.36  1.19  5.08
2007 06 30 -3.49  -56.09  7.16  1.29  1.13  4.84
2007 07 01 -3.4  -56.54  10.83  1.3  1.13  4.85
2007 07 02 -4.26  -55.39  6.33  1.31  1.14  4.87
2007 07 03 -4.32  -57.45  8.93  1.32  1.15  4.95
2007 07 04 -4.28  -58.44  12.12  1.46  1.27  5.54
2007 07 05 -2.97  -56.4  10.16  1.53  1.32  5.76
2007 07 06 -4.75  -58.18  7.67  1.54  1.32  5.83
2007 07 07 -4.06  -55.72  4.8  1.53  1.33  5.84
2007 07 08 -3.23  -55.92  11.21  1.51  1.3  5.79
2007 07 09 -4.83  -55.9  5.78  1.37  1.2  5.26
2007 07 10 -4.71  -56.89  9.78  1.39  1.22  5.39
2007 07 11 -3.98  -55.77  2.6  1.59  1.37  5.98
2007 07 12 -4.83  -56.02  3.15  1.41  1.23  5.4
2007 07 13 -5.57  -55.84  6.44  1.4  1.22  5.32
2007 07 14 -3.52  -56.38  9.03  1.54  1.35  5.9
2007 07 15 -3.72  -55.99  18.73  1.49  1.31  5.61
2007 07 16 -3.83  -56.77  9.38  1.45  1.27  5.48
2007 07 17 -3.13  -56.84  8.16  1.47  1.29  5.61
2007 07 18 -2.11  -56.36  5.46  1.53  1.35  5.79
2007 07 19 -4.6  -57.06  4.94  1.49  1.3  5.59
2007 07 20 -4.03  -57.17  7.08  1.38  1.22  5.25
2007 07 21 -5.05  -56.7  6.68  1.48  1.31  5.69
2007 07 22 -4.47  -56.31  2.82  1.67  1.46  6.35
2007 07 23 -5.67  -56.21  7.05  1.58  1.37  5.93
2007 07 24 -7.09  -58.82  4.15  1.72  1.5  6.64
2007 07 25 -5.2  -55.4  8.26  1.81  1.56  6.95
2007 07 26 -4.21  -57.29  -3.45  1.76  1.53  6.6
2007 07 27 -6.01  -55.91  -1.57  1.5  1.32  5.77
2007 07 28 -3.93  -56.39  5  1.65  1.43  6.25
2007 07 29 -4.52  -56.79  9.71  1.75  1.53  6.64
2007 07 30 -3.6  -54.83  -1.1  1.7  1.49  6.45
2007 07 31 -5.17  -56.43  5.93  1.65  1.44  6.26
2007 08 01 -4.07  -56.51  15.22  1.71  1.48  6.55
2007 08 02 -6.71  -57.88  5.07  1.64  1.43  6.41
2007 08 03 -5.77  -56.28  -2.99  1.68  1.46  6.41
2007 08 04 -4.43  -55.9  2.2  1.44  1.26  5.48
2007 08 05 -4.55  -56.55  9.11  1.8  1.57  6.84
2007 08 06 -2.97  -54.75  6.69  1.55  1.35  5.93
2007 08 07 -4.25  -56.47  10.76  1.6  1.4  6.11
2007 08 08 -3.92  -55.11  5.32  1.49  1.31  5.69
2007 08 09 -4.84  -54.27  10.46  1.46  1.27  5.56
2007 08 10 -3.96  -52.26  8.07  1.48  1.3  5.7
2007 08 11 -3.96  -54.24  13.82  1.5  1.33  5.8
2007 08 12 -4.68  -56.1  8.07  1.64  1.45  6.3
2007 08 13 -3.85  -56.42  11.68  1.63  1.43  6.17
2007 08 14 -3.67  -55.82  10.78  1.48  1.27  5.63
2007 08 15 -4.6  -55.57  -0.45  1.5  1.33  5.78
2007 08 16 -2.92  -54.09  5.3  1.68  1.47  6.51
2007 08 17 -5.05  -54.15  8.11  1.41  1.26  5.33
2007 08 18 -4.66  -58.08  3.82  1.56  1.37  5.97
2007 08 19 -6.77  -56.25  1.12  1.91  1.65  7.16
2007 08 20 -6.1  -55.84  7.53  1.58  1.38  5.95
2007 08 21 -7.32  -58.02  13.06  1.37  1.18  5.15
2007 08 22 -7.11  -57.21  11.68  1.49  1.29  5.59
2007 08 23 -5.67  -57.23  13.78  1.61  1.4  6.07
2007 08 24 -5.28  -55.67  13.93  1.82  1.53  6.94
2007 08 25 -5.71  -56.6  13.29  1.42  1.22  5.38
2007 08 26 -5.1  -56.63  14.28  1.47  1.26  5.53
